country,LAU_ID,NUTS_ID_3,NUTS_ID_region
czechia,CZ577391,CZ051,CZ0
czechia,CZ577405,CZ051,CZ0
czechia,CZ577413,CZ051,CZ0
czechia,CZ577421,CZ051,CZ0
czechia,CZ577430,CZ051,CZ0
czechia,CZ577448,CZ051,CZ0
czechia,CZ577456,CZ051,CZ0
czechia,CZ577464,CZ051,CZ0
czechia,CZ577472,CZ051,CZ0
czechia,CZ577481,CZ051,CZ0
czechia,CZ577499,CZ051,CZ0
czechia,CZ577529,CZ051,CZ0
czechia,CZ577545,CZ051,CZ0
czechia,CZ577553,CZ051,CZ0
czechia,CZ577561,CZ051,CZ0
czechia,CZ577570,CZ051,CZ0
czechia,CZ577596,CZ051,CZ0
czechia,CZ577600,CZ051,CZ0
czechia,CZ577626,CZ051,CZ0
czechia,CZ577642,CZ051,CZ0
czechia,CZ577651,CZ051,CZ0
czechia,CZ577669,CZ051,CZ0
czechia,CZ577677,CZ051,CZ0
czechia,CZ577685,CZ051,CZ0
czechia,CZ577693,CZ051,CZ0
czechia,CZ577707,CZ051,CZ0
czechia,CZ577723,CZ051,CZ0
czechia,CZ577731,CZ053,CZ0
czechia,CZ577774,CZ053,CZ0
czechia,CZ577812,CZ053,CZ0
czechia,CZ577821,CZ053,CZ0
czechia,CZ577839,CZ053,CZ0
czechia,CZ577863,CZ053,CZ0
czechia,CZ577871,CZ053,CZ0
czechia,CZ577898,CZ053,CZ0
czechia,CZ577910,CZ053,CZ0
czechia,CZ577928,CZ053,CZ0
czechia,CZ577936,CZ053,CZ0
czechia,CZ577944,CZ053,CZ0
czechia,CZ577961,CZ053,CZ0
czechia,CZ577979,CZ041,CZ0
czechia,CZ577987,CZ053,CZ0
czechia,CZ577995,CZ053,CZ0
czechia,CZ578002,CZ041,CZ0
czechia,CZ578011,CZ041,CZ0
czechia,CZ578029,CZ041,CZ0
czechia,CZ578037,CZ053,CZ0
czechia,CZ578045,CZ041,CZ0
czechia,CZ578053,CZ053,CZ0
czechia,CZ578061,CZ032,CZ0
czechia,CZ578070,CZ032,CZ0
czechia,CZ578088,CZ032,CZ0
czechia,CZ578096,CZ053,CZ0
czechia,CZ578100,CZ053,CZ0
czechia,CZ578118,CZ053,CZ0
czechia,CZ578126,CZ053,CZ0
czechia,CZ578134,CZ053,CZ0
czechia,CZ578142,CZ053,CZ0
czechia,CZ578151,CZ053,CZ0
czechia,CZ578169,CZ053,CZ0
czechia,CZ578177,CZ032,CZ0
czechia,CZ578185,CZ053,CZ0
czechia,CZ578193,CZ053,CZ0
czechia,CZ578207,CZ053,CZ0
czechia,CZ578215,CZ053,CZ0
czechia,CZ578223,CZ032,CZ0
czechia,CZ578231,CZ053,CZ0
czechia,CZ578240,CZ032,CZ0
czechia,CZ578258,CZ053,CZ0
czechia,CZ578266,CZ053,CZ0
czechia,CZ578274,CZ053,CZ0
czechia,CZ578282,CZ053,CZ0
czechia,CZ578291,CZ053,CZ0
czechia,CZ578304,CZ053,CZ0
czechia,CZ578312,CZ032,CZ0
czechia,CZ578321,CZ032,CZ0
czechia,CZ578339,CZ053,CZ0
czechia,CZ578347,CZ053,CZ0
czechia,CZ578355,CZ053,CZ0
czechia,CZ578363,CZ053,CZ0
czechia,CZ578371,CZ053,CZ0
czechia,CZ578380,CZ053,CZ0
czechia,CZ578398,CZ053,CZ0
czechia,CZ578401,CZ053,CZ0
czechia,CZ578410,CZ032,CZ0
czechia,CZ578428,CZ053,CZ0
czechia,CZ578436,CZ032,CZ0
czechia,CZ578444,CZ053,CZ0
czechia,CZ578452,CZ053,CZ0
czechia,CZ578461,CZ032,CZ0
czechia,CZ578479,CZ053,CZ0
czechia,CZ578487,CZ053,CZ0
czechia,CZ578495,CZ032,CZ0
czechia,CZ578509,CZ053,CZ0
czechia,CZ578517,CZ032,CZ0
czechia,CZ578525,CZ032,CZ0
czechia,CZ578533,CZ032,CZ0
czechia,CZ578541,CZ032,CZ0
czechia,CZ578550,CZ053,CZ0
czechia,CZ578568,CZ032,CZ0
czechia,CZ578576,CZ053,CZ0
czechia,CZ578584,CZ053,CZ0
